Abbrev,Team,Mascot
TOR,Toronto,Blue%20Jays
BAL,Baltimore,Orioles
BOS,Boston,Red%20Sox
NYY,New York(A),Yankees
TBR,Tampa Bay,Rays
CLE,Cleveland,Indians
DET,Detroit,Tigers
KCR,Kansas City,Royals
CHW,Chicago(A),White%20Sox
MIN,Minnesota,Twins
TEX,Texas,Rangers
SEA,Seattle,Mariners
HOU,Houston,Astros
OAK,Oakland,Athletics
LAA,Los Angeles,Angels
WSN,Washington,Nationals
MIA,Miami,Marlins
NYM,New York(N),Mets
PHI,Philadelphia,Phillies
ATL,Atlanta,Braves
CHC,Chicago(N),Cubs
STL,St Louis,Cardinals
PIT,Pittsburgh,Pirates
MIL,Milwaukee,Brewers
CIN,Cincinnati,Reds
SFG,San Francisco,Giants
LAD,Los Angeles(N),Dodgers
COL,Colorado,Rockies
SDP,San Diego,Padres
ARI,Arizona,Diamondbacks